food,category,type,serving,calories,totalfat,totalcarb,protein
cereal-mix,recipe,09-Jun-23,871.0,4792.9,339.8,353.3,131.8
cereal-mix,recipe,20-Jun-23,785.0,3949.0,218.4,428.5,99.6
pasta-sauce,recipe,28-Jun-23,983.0,774.6999999999999,46.0,37.4,62.8
pasta-cooked,recipe,28-Jun-23,758.0,2764.5,8.9,552.9,107.0
